generation,best_ppm,best_ever_ppm,mean_ppm,seconds
0,8101.52,8101.52,136435,7.3e-08
1,7849.12,7849.12,90612.5,0.202187
2,7461.71,7461.71,69850.3,0.197998
3,5674.92,5674.92,57813.9,0.204368
4,5186.34,5186.34,49662.2,0.209631
5,4779.94,4779.94,44547.3,0.209373
6,3283.93,3283.93,40454.3,0.246036
7,1974.54,1974.54,38118.9,0.19608
8,1974.54,1974.54,34980.2,0.22197
9,1974.54,1974.54,32737,0.210893
10,1974.54,1974.54,30882.5,0.190113
11,1974.54,1974.54,29640.9,0.221356
12,1974.54,1974.54,29505.5,0.205366
13,1974.54,1974.54,28744.8,0.203065
14,1974.54,1974.54,28184.3,0.21039
15,1974.54,1974.54,27868.5,0.214157
16,1974.54,1974.54,27315.4,0.203219
17,1974.54,1974.54,27648.9,0.199746
18,1312.29,1312.29,26738.1,0.22743
19,1312.29,1312.29,26422.5,0.209309
20,1312.29,1312.29,25514.4,0.262848
21,907.155,907.155,26146.8,0.217538
22,907.155,907.155,24771.9,0.230303
23,907.155,907.155,24689.3,0.233633
24,907.155,907.155,24079.5,0.276177
25,907.155,907.155,22755.8,0.234103
26,907.155,907.155,22347.6,0.209855
27,907.155,907.155,21622.7,0.266339
28,907.155,907.155,21059.3,0.272571
29,842.94,842.94,19912.2,0.265702
30,806.439,806.439,18900.1,0.221049
31,806.439,806.439,17564.1,0.245743
32,806.439,806.439,17029.7,0.24296
33,806.439,806.439,14930.5,0.337188
34,806.439,806.439,14745.6,0.325866
35,806.439,806.439,12782.7,0.280995
36,806.439,806.439,11514.9,0.224355
37,806.439,806.439,10119.1,0.204933
38,806.439,806.439,9513.87,0.283719
39,806.439,806.439,9128.96,0.262237
40,794.036,794.036,9267.33,0.277736
41,794.036,794.036,9428.34,0.205629
42,794.036,794.036,9704.23,0.226392
43,794.036,794.036,9449.83,0.179688
44,794.036,794.036,9333.96,0.193564
45,794.036,794.036,8945.12,0.182924
46,794.036,794.036,9246.31,0.190069
47,794.036,794.036,9595.05,0.213226
48,794.036,794.036,9406.76,0.179147
49,794.036,794.036,9423.32,0.20157
50,794.036,794.036,9456.54,0.208474
51,794.036,794.036,9677.27,0.205819
52,794.036,794.036,9208.88,0.232321
53,794.036,794.036,9383.96,0.232358
54,794.036,794.036,9616.24,0.235049
55,794.036,794.036,9287.4,0.260572
56,794.036,794.036,9158.29,0.18533
57,794.036,794.036,9264.26,0.214221
58,794.036,794.036,9354.95,0.181662
59,794.036,794.036,9458.93,0.172563
60,794.036,794.036,9440.98,0.184434
61,794.036,794.036,8932.82,0.204836
62,794.036,794.036,9592.97,0.211893
63,794.036,794.036,9339.08,0.190144
64,794.036,794.036,9303.53,0.182467
65,794.036,794.036,9303.94,0.192508
66,794.036,794.036,9445.74,0.211745
67,794.036,794.036,9932.23,0.204642
68,794.036,794.036,9408.34,0.184112
69,794.036,794.036,9199.08,0.189697
70,794.036,794.036,9245.36,0.18813
71,794.036,794.036,9481.58,0.238724
72,794.036,794.036,9326.61,0.275781
73,794.036,794.036,9587.35,0.24268
74,794.036,794.036,9399.89,0.198247
75,794.036,794.036,9683.95,0.190395
76,794.036,794.036,8892.99,0.212416
77,794.036,794.036,9325.38,0.190637
78,794.036,794.036,8853.66,0.190838
79,794.036,794.036,9780.71,0.189715
80,794.036,794.036,9323.76,0.19414
81,794.036,794.036,9255.59,0.211951
82,794.036,794.036,8741.57,0.207375
83,794.036,794.036,9066.54,0.191849
84,794.036,794.036,9082.9,0.197612
85,794.036,794.036,9900.35,0.17581
86,794.036,794.036,8826.4,0.2119
87,794.036,794.036,9418.23,0.213331
88,794.036,794.036,9819.57,0.194381
89,794.036,794.036,9661.89,0.184161
90,794.036,794.036,9152.66,0.193908
91,794.036,794.036,9900.45,0.203714
92,794.036,794.036,9691.71,0.219189
93,794.036,794.036,9422.76,0.185709
94,794.036,794.036,9715.7,0.180585
95,794.036,794.036,9548.24,0.197988
96,794.036,794.036,9482.2,0.198148
97,794.036,794.036,9332.02,0.214273
98,794.036,794.036,9206.61,0.19632
99,794.036,794.036,9419.78,0.195931
100,794.036,794.036,9062.5,0.192782
