x,y,z,Bx,By,Bz,Bmag
-0.100000001,-7.4505806e-09,-7.4505806e-09,0.0490666777,-4.05343144e-07,8.12779035e-08,0.0490666777
-0.0949999988,-0.0300000012,-0.00500000268,0.04906445,2.11086763e-06,-3.6729225e-06,0.0490644501
-0.0949999988,-0.0300000012,-7.4505806e-09,0.0490649827,2.2331551e-06,-2.18053174e-07,0.0490649827
-0.0949999988,-0.0300000012,0.00499999523,0.0490645692,2.24950554e-06,3.71473607e-06,0.0490645694
-0.0949999988,-0.025000006,-0.0150000006,0.0490574688,1.74568072e-07,-7.69567123e-06,0.0490574694
-0.0949999988,-0.025000006,-0.0100000054,0.049061086,1.18889955e-06,-6.37066751e-06,0.0490610865
-0.0949999988,-0.025000006,-0.00500000268,0.0490639172,1.36069082e-06,-4.77034928e-06,0.0490639175
-0.0949999988,-0.025000006,-7.4505806e-09,0.049063962,1.22970778e-06,2.39374003e-07,0.049063962
-0.0949999988,-0.025000006,0.00499999523,0.0490635559,1.38263351e-06,4.91089168e-06,0.0490635562
-0.0949999988,-0.025000006,0.00999999791,0.0490612276,6.52071094e-07,6.36308596e-06,0.049061228
-0.0949999988,-0.025000006,0.0149999931,0.0490574948,-3.60196509e-07,7.33724619e-06,0.0490574954
-0.0949999988,-0.0200000033,-0.0200000033,0.0490547717,8.90623824e-08,-6.76170293e-06,0.0490547721
-0.0949999988,-0.0200000033,-0.0150000006,0.0490571298,2.51436973e-07,-7.37544588e-06,0.0490571303
-0.0949999988,-0.0200000033,-0.0100000054,0.0490609519,9.28780764e-07,-6.10849838e-06,0.0490609523
-0.0949999988,-0.0200000033,-0.00500000268,0.0490636416,1.03214416e-06,-2.42277656e-06,0.0490636416
-0.0949999988,-0.0200000033,-7.4505806e-09,0.0490643308,6.5459335e-07,-9.92122295e-08,0.0490643308
-0.0949999988,-0.0200000033,0.00499999523,0.0490630008,1.07413825e-06,2.35679681e-06,0.0490630009
-0.0949999988,-0.0200000033,0.00999999791,0.0490613729,1.15005491e-07,5.26109579e-06,0.0490613732
-0.0949999988,-0.0200000033,0.0149999931,0.0490572602,2.00550801e-07,7.00952751e-06,0.0490572607
-0.0949999988,-0.0200000033,0.0199999958,0.0490547828,-5.26483745e-10,6.65055813e-06,0.0490547833
