generation,best_ppm,best_ever_ppm,mean_ppm,seconds
0,9396.36,9396.36,15687.9,1.1e-07
1,9396.36,9396.36,11622,1.7946
2,9396.36,9396.36,10940.1,2.02754
3,9396.36,9396.36,10562.5,1.82358
4,9396.36,9396.36,10455.1,1.47203
5,9396.36,9396.36,10369.5,1.4414
6,9396.36,9396.36,10419.1,1.446
7,9396.36,9396.36,10427.3,1.51138
8,9396.36,9396.36,10365.4,1.43971
9,9396.36,9396.36,10372.6,1.43674
10,9396.36,9396.36,10378.6,1.466
11,9396.36,9396.36,10414.8,1.66243
12,9396.36,9396.36,10444.2,1.7616
13,9396.36,9396.36,10393.1,1.8329
14,9396.36,9396.36,10351.3,1.67783
15,9396.36,9396.36,10388.2,1.48584
16,9396.36,9396.36,10382.3,1.53041
17,9396.36,9396.36,10362.3,1.96198
18,9396.36,9396.36,10372.7,1.77992
19,9396.36,9396.36,10381.5,1.88505
20,9396.36,9396.36,10390.9,1.86792
21,9396.36,9396.36,10381.2,1.78799
22,9396.36,9396.36,10442.7,1.3519
23,9396.36,9396.36,10369.7,1.34406
24,9396.36,9396.36,10407.8,1.44487
25,9396.36,9396.36,10409.6,1.43756
