generation,best_ppm,best_ever_ppm,mean_ppm,seconds
0,246.469,246.469,45530.6,4.6e-08
1,246.469,246.469,25239.8,0.233497
2,246.469,246.469,19245.2,0.298131
3,246.469,246.469,16291.2,0.260292
4,246.469,246.469,14649.7,0.259172
5,246.469,246.469,13819.3,0.257009
6,246.469,246.469,13186.7,0.267048
7,246.469,246.469,13033.8,0.263586
8,246.469,246.469,13136,0.230852
9,246.469,246.469,12985.4,0.270527
10,246.469,246.469,13459.3,0.285073
11,246.469,246.469,13390.3,0.332295
12,246.469,246.469,12840.1,0.324657
13,246.469,246.469,11681,0.307918
14,246.469,246.469,10605.2,0.293047
15,246.469,246.469,9869.2,0.261463
16,246.469,246.469,9894.58,0.279465
17,246.469,246.469,9969.77,0.275106
18,246.469,246.469,9825.33,0.260046
19,246.469,246.469,9969.95,0.329962
20,246.469,246.469,10027,0.342648
